id;channel;auto_pay_id;debit_date;status;customer_id
1;teal extensible Producer;80566;2021-07-13;Car;57354
2;Brand supply-chains;92288;2021-07-13;toolset Utah Incredible;47223
3;hack matrix;14141;2021-07-13;protocol knowledge;42042
4;Optimization Texas;71205;2021-07-14;Refined;99190
5;communities Baby Computer;30135;2021-07-13;Buckinghamshire optimal;10237
6;Drive Fort;55534;2021-07-13;real-time;12316
7;gold calculating;46749;2021-07-14;extensible Down-sized;90462
8;invoice Marketing;71529;2021-07-13;system-worthy Buckinghamshire;57980
9;Monaco Awesome;88523;2021-07-13;Savings programming;54482
10;application technologies frame;31182;2021-07-13;South Delaware state;38808
