id;amount_due;bill_date;bill_no;billing_period;category;href;last_updated_date;next_updated_date;payment_due_date;state;tax_excluded_amount;tax_included_amount;customer_id
1;67342;2021-07-13T16:02:55;58318;2021-07-13T14:40:17;Pound Regional redundant;input;2021-07-13T16:24:28;2021-07-13T13:47:33;2021-07-13T23:51:18;Sausages disintermediate Handcrafted;68842;34241;72612
2;8545;2021-07-13T10:46:11;80796;2021-07-13T16:09:00;extensible Multi-channelled;Kansas Metrics dedicated;2021-07-13T10:05:29;2021-07-13T19:36:02;2021-07-13T23:45:56;Ghana Missouri up;33511;1272;65060
3;57355;2021-07-14T02:34:10;90015;2021-07-14T05:26:13;Reduced Buckinghamshire Switchable;SQL Gorgeous;2021-07-13T12:02:29;2021-07-13T13:53:21;2021-07-13T20:25:08;Frozen grey;32730;82891;71959
4;4474;2021-07-14T02:43:44;75082;2021-07-13T10:49:39;Car Integration deposit;interface wireless;2021-07-13T17:03:11;2021-07-13T17:19:30;2021-07-13T16:30:48;Rubber Games;30217;58307;64970
5;54475;2021-07-13T09:15:31;87111;2021-07-13T11:04:26;Granite Personal payment;Specialist Guyana;2021-07-13T22:51:23;2021-07-13T15:42:04;2021-07-13T23:41:09;alarm;97713;12866;43063
6;30781;2021-07-13T14:57:37;67836;2021-07-13T13:29:26;Checking monetize;haptic panel;2021-07-13T23:39:31;2021-07-13T23:35:55;2021-07-13T11:24:01;Rustic;29803;6924;69015
7;72218;2021-07-13T12:12:15;38084;2021-07-13T10:01:55;Ridges;override connect solution-oriented;2021-07-13T12:44:16;2021-07-14T02:23:49;2021-07-13T11:15:28;azure;4873;7914;13724
8;419;2021-07-13T09:01:28;18475;2021-07-13T14:52:46;Sausages;Intranet GB hacking;2021-07-13T19:10:43;2021-07-13T10:31:38;2021-07-13T13:22:09;Mississippi Chief;2019;99943;83700
9;65252;2021-07-13T15:37:53;81448;2021-07-13T19:31:19;Pakistan;leading;2021-07-14T01:23:10;2021-07-13T22:00:57;2021-07-13T12:53:08;1080p;87940;53634;442
10;1497;2021-07-13T23:32:52;57114;2021-07-13T12:38:33;wireless Books;deposit Manager;2021-07-13T17:35:33;2021-07-14T05:51:06;2021-07-13T12:42:21;indigo;89259;13119;83068
