id;name;description;preferred;type;valid_from;valid_to;customer_id
1;Investment;Nicaragua pink Hawaii;true;Chips Investment;2021-07-14T06:43:37;2021-07-14T01:25:53;15169
2;Square Clothing pixel;Burg;true;Kids Associate;2021-07-13T20:06:37;2021-07-13T18:04:11;77021
3;withdrawal Dynamic;parsing 1080p Steel;false;Borders Customer;2021-07-13T17:01:14;2021-07-14T05:47:21;5882
4;Kazakhstan;Delaware Card;true;connecting Texas;2021-07-13T14:35:24;2021-07-13T07:54:28;81181
5;Specialist Ohio;web-enabled;false;Mozambique Market;2021-07-14T00:55:55;2021-07-14T03:16:31;10970
6;intuitive Chips Island;capacitor;false;Lilangeni Practical;2021-07-13T14:07:31;2021-07-13T11:13:02;57916
7;Agent Georgia parsing;Graphic navigating;true;Representative frame strategic;2021-07-13T13:43:52;2021-07-13T11:05:33;81891
8;Sleek;program;true;override;2021-07-13T15:38:00;2021-07-13T23:19:28;61715
9;bandwidth EXE;alarm;false;Officer;2021-07-13T22:42:04;2021-07-14T06:34:58;10170
10;Buckinghamshire RAM;haptic Namibia Mobility;false;Lead;2021-07-14T06:29:28;2021-07-13T17:21:24;54085
