id;name;role_id;individual_id;valid_from;valid_to;customer_id
1;Taka;9575;74445;2021-07-13T08:42:29;2021-07-13T23:11:31;13479
2;Norway open-source collaborative;49525;83397;2021-07-13T11:13:55;2021-07-14T01:40:41;65059
3;Wooden Solutions hybrid;18846;53152;2021-07-13T14:14:05;2021-07-14T06:33:39;56408
4;Cambridgeshire neural Kids;64717;74024;2021-07-13T15:15:55;2021-07-13T15:06:31;70372
5;Branding withdrawal Cloned;12179;67372;2021-07-13T10:05:22;2021-07-13T22:31:18;93331
6;deposit Intelligent Credit;70874;60212;2021-07-13T20:16:56;2021-07-13T23:58:58;69465
7;policy Montenegro;74793;2476;2021-07-14T02:23:33;2021-07-14T00:48:02;41987
8;invoice;48362;80195;2021-07-13T13:28:04;2021-07-13T17:22:00;65219
9;Plastic contingency;83805;49147;2021-07-13T12:54:03;2021-07-13T15:35:24;35255
10;Toys deposit Stravenue;36072;89386;2021-07-14T05:54:30;2021-07-13T15:58:42;34931
