id;name;activity;customer_id;individual_id
1;bluetooth turn-key Practical;mission-critical;11056;29145
2;1080p Bosnia unleash;system object-oriented action-items;38369;57405
3;indexing hierarchy;Real Mauritania SCSI;95157;85026
4;Music;synthesize Internal Loan;37077;28098
5;extend;Wooden;50777;97568
6;up Flat invoice;e-commerce;37868;98250
7;Coordinator;Beauty array Cotton;70961;49595
8;Soft withdrawal;monetize aggregate;1551;16367
9;multi-byte interface input;wireless Jewelery;5805;66056
10;cross-platform;Junction multi-byte Course;9291;70528
