id;name;activity;customer_id;individual_id
1;HTTP;Plaza;78890;6100
2;bus Compatible Unbranded;deposit;80093;23087
3;program Home online;distributed indigo instruction;83161;62284
4;intuitive Manager Soft;scale reintermediate;95118;80633
5;Bedfordshire HTTP invoice;support back-end;68074;99754
6;Rwanda Zealand;Island Planner;82282;64514
7;Handcrafted e-services;magnetic;71755;88914
8;process;Digitized THX;531;54475
9;system;Cambridgeshire;40162;84027
10;Wooden Brunei;Massachusetts group program;16999;73253
