id;preferred;type;valid_from;valid_to;individual_id
1;Facilitator;user Solomon;2021-07-14T02:59:48;2021-07-13T18:20:26;93211
2;driver Trafficway unleash;methodical Health;2021-07-13T11:20:06;2021-07-13T12:50:46;93079
3;Director Markets;Hawaii;2021-07-13T15:49:32;2021-07-13T16:50:27;6988
4;Director;pixel;2021-07-13T14:53:25;2021-07-13T21:12:39;31860
5;compress full-range Tennessee;Liaison;2021-07-13T21:38:09;2021-07-13T21:01:55;39081
6;Outdoors;Washington cyan grey;2021-07-13T18:12:50;2021-07-13T20:03:38;97014
7;Minnesota port Dong;frame bypass Account;2021-07-13T23:04:34;2021-07-14T06:49:32;63600
8;Customer markets;navigating Practical El;2021-07-13T16:24:36;2021-07-13T09:31:41;21703
9;turquoise Group;Plastic Awesome Product;2021-07-13T23:31:20;2021-07-14T02:36:43;8531
10;Plastic Handcrafted Architect;Web;2021-07-14T03:41:22;2021-07-14T01:33:07;47539
