id;href;shopping_session_id;status;session_abondoned;customer_id;channel;individual_id
1;frictionless;contextually-based Extended;black Shores;false;58050;Oregon Jewelery;86729
2;Steel Cambridgeshire;synthesize;Baby up Practical;true;91884;Passage Sleek Estonia;6361
3;Handmade Avon;driver generation Monitored;haptic;false;31776;Accounts pixel Hat;44471
4;override withdrawal Zambian;Grove Oregon;IB Barbados;true;78168;transmitting Views;98485
5;Soft Hat bandwidth;bandwidth Health;input generating withdrawal;false;82986;Credit auxiliary Account;73048
6;whiteboard;payment navigating;Facilitator;true;74535;payment;25107
7;Clothing Intelligent Gardens;open methodical Granite;Coordinator HDD;false;98006;Jan Table Investment;20830
8;drive;SQL;Incredible Books;false;17348;Cambridgeshire EXE invoice;67536
9;markets FTP;Tennessee EXE multi-byte;back-end dedicated;true;52339;Iowa;24108
10;Borders;green;innovative;true;25425;facilitate parse port;4889
